iter	Passed	Remaining
0	158	157902
1	159	79786
2	161	53668
3	162	40523
4	163	32626
5	165	27352
6	166	23566
7	167	20739
8	168	18535
9	169	16757
10	170	15301
11	171	14101
12	172	13074
13	173	12195
14	174	11428
15	174	10756
16	175	10156
17	176	9618
18	176	9137
19	177	8707
20	178	8312
21	178	7953
22	179	7625
23	180	7324
24	180	7047
25	181	6791
26	181	6555
27	182	6335
28	183	6131
29	183	5941
30	184	5763
31	185	5598
32	185	5446
33	186	5299
34	187	5160
35	187	5029
36	188	4907
37	189	4789
38	189	4681
39	190	4575
40	191	4474
41	191	4377
42	192	4285
43	193	4197
44	193	4113
45	194	4032
46	195	3955
47	195	3881
48	196	3810
49	196	3742
50	197	3676
51	198	3614
52	198	3554
53	199	3500
54	200	3444
55	201	3390
56	201	3337
57	202	3286
58	202	3237
59	203	3190
60	204	3145
61	205	3102
62	205	3059
63	206	3018
64	207	2978
65	207	2939
66	208	2901
67	209	2866
68	209	2830
69	210	2795
70	211	2762
71	211	2728
72	212	2696
73	212	2664
74	213	2633
75	214	2605
76	214	2576
77	215	2547
78	216	2520
79	216	2493
80	217	2467
81	218	2443
82	218	2416
83	219	2392
84	220	2369
85	220	2346
86	221	2323
87	222	2301
88	222	2280
89	223	2258
90	223	2237
91	224	2217
92	225	2196
93	225	2176
94	226	2157
95	227	2138
96	227	2120
97	228	2103
98	229	2085
99	229	2067
100	230	2050
101	231	2034
102	231	2017
103	232	2001
104	232	1985
105	233	1970
106	234	1956
107	235	1941
108	235	1927
109	236	1912
110	237	1898
111	237	1884
112	238	1870
113	238	1856
114	239	1843
115	240	1830
116	240	1816
117	241	1804
118	243	1801
119	243	1788
120	244	1776
121	245	1763
122	245	1751
123	246	1739
124	246	1728
125	247	1716
126	248	1705
127	248	1695
128	249	1684
129	250	1673
130	250	1663
131	251	1652
132	251	1642
133	252	1631
134	253	1621
135	253	1611
136	254	1602
137	254	1592
138	255	1583
139	256	1573
140	256	1565
141	257	1554
142	257	1545
143	258	1537
144	259	1528
145	259	1519
146	260	1511
147	261	1503
148	261	1494
149	262	1487
150	263	1479
151	264	1472
152	264	1466
153	265	1458
154	266	1451
155	266	1443
156	267	1436
157	268	1428
158	268	1421
159	269	1414
160	269	1405
161	270	1399
162	271	1393
163	271	1386
164	272	1380
165	273	1373
166	274	1366
167	274	1360
168	275	1353
169	275	1347
170	276	1340
171	277	1334
172	277	1327
173	278	1322
174	279	1316
175	279	1310
176	280	1304
177	281	1298
